2022-01-07 20:37:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-01-07 20:37:48 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-01-07 20:37:49 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-01-07 20:37:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-01-07 20:37:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-01-07 20:37:49 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-01-07 20:37:49 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-01-07 20:37:49 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-07 20:37:49 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1129 ms
2022-01-07 20:37:50 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-01-07 20:37:51 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-01-07 20:37:51 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-01-07 20:37:51 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-01-07 20:37:51 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@506b083, org.springframework.security.web.context.SecurityContextPersistenceFilter@126254ec, org.springframework.security.web.header.HeaderWriterFilter@98722ef, org.springframework.security.web.csrf.CsrfFilter@6785df10, org.springframework.security.web.authentication.logout.LogoutFilter@4ffa078d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@41e7a544, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@684b26b7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5eee3da9, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@bb6869a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c788d08, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2cc34cd5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ace2408, org.springframework.security.web.session.SessionManagementFilter@fd69983, org.springframework.security.web.access.ExceptionTranslationFilter@340fc1aa, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1fa18f87]
2022-01-07 20:37:52 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-01-07 20:37:52 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-01-07 20:37:52 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-01-07 20:37:52 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 5.792 seconds (JVM running for 6.241)
2022-01-07 20:38:23 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-07 20:38:23 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-07 20:38:23 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2022-01-07 20:38:24 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [316] milliseconds.
2022-01-07 20:38:24 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-5856099398912288459/config-client-twitter_to_kafka.yml
2022-01-07 20:38:24 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-5856099398912288459/config-client.yml
