2022-02-02 01:40:24 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-02-02 01:40:25 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-02-02 01:40:26 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-02-02 01:40:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-02-02 01:40:26 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-02-02 01:40:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-02-02 01:40:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-02-02 01:40:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-02-02 01:40:26 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1329 ms
2022-02-02 01:40:27 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-02-02 01:40:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-02-02 01:40:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-02-02 01:40:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-02-02 01:40:28 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6a552721, org.springframework.security.web.context.SecurityContextPersistenceFilter@63c4d16, org.springframework.security.web.header.HeaderWriterFilter@7d3bcd3, org.springframework.security.web.csrf.CsrfFilter@71ee2fff, org.springframework.security.web.authentication.logout.LogoutFilter@28b2e4d8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@a0e33db, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6ab50d1c, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3815a7d1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@632b5c79, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@174b8d0e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1214c98b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@24dc150c, org.springframework.security.web.session.SessionManagementFilter@b76b7d8, org.springframework.security.web.access.ExceptionTranslationFilter@391dfe7c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5d74507c]
2022-02-02 01:40:29 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-02-02 01:40:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-02-02 01:40:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-02-02 01:40:29 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 5.102 seconds (JVM running for 5.69)
2022-02-02 01:41:27 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-02 01:41:27 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-02 01:41:27 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2022-02-02 01:41:30 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client-reactive_elastic_query_web.yml
2022-02-02 01:41:30 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client.yml
2022-02-02 01:41:31 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client-twitter_to_kafka.yml
2022-02-02 01:41:31 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client.yml
2022-02-02 01:41:32 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client-reactive_elastic_query.yml
2022-02-02 01:41:32 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client.yml
2022-02-02 01:41:36 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client-kafka_to_elastic.yml
2022-02-02 01:41:36 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-9983544959670370779/config-client.yml
2022-02-02 01:51:08 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
